YEAR,ROADS,COUNT
2011,"Princes Highway, East Gippsland",41
2011,"Hume Freeway, Mitchell",33
2011,"Sturt Street, Ballarat",33
2011,"Princes Highway, Geelong",30
2011,"South Gippsland Highway, South Gippsland",29
2011,"High Street, Bendigo",23
2011,"Great Ocean Road, Surf Coast",21
2011,"Portarlington Road, Geelong",21
2011,"Bass Highway, Bass Coast",20
2011,"Bellarine Highway, Geelong",18
2011,"Thompson Road, Geelong",17
2011,"Princes Freeway, Baw Baw",16
2011,"Calder Highway, Bendigo",15
2011,"Surf Coast Highway, Geelong",15
2011,"Mcivor Highway, Bendigo",14
2012,"Princes Highway, East Gippsland",40
2012,"High Street, Bendigo",26
2012,"Western Freeway, Moorabool",25
2012,"Hume Freeway, Mitchell",24
2012,"Princes Highway, Geelong",24
2012,"Princes Highway, Latrobe",20
2012,"Hume Freeway, Strathbogie",19
2012,"South Gippsland Highway, South Gippsland",18
2012,"Sturt Street, Ballarat",17
2012,"Princes Freeway, Latrobe",16
2012,"Ryrie Street, Geelong",16
2012,"Bass Highway, Bass Coast",15
2012,"Great Ocean Road, Colac Otway",15
2012,"Great Ocean Road, Surf Coast",15
2012,"Calder Freeway, Macedon Ranges",14
2013,"Princes Highway, Geelong",38
2013,"Hume Freeway, Mitchell",30
2013,"High Street, Bendigo",28
2013,"Bellarine Highway, Geelong",25
2013,"Princes Highway, East Gippsland",25
2013,"Portarlington Road, Geelong",22
2013,"South Gippsland Highway, South Gippsland",19
2013,"Sturt Street, Ballarat",19
2013,"Western Freeway, Moorabool",19
2013,"Thompson Road, Geelong",18
2013,"Calder Highway, Bendigo",17
2013,"Murray Valley Highway, Moira",17
2013,"Raglan Parade, Warrnambool",17
2013,"High Street, Geelong",16
2013,"Great Ocean Road, Colac Otway",15
2014,"Princes Highway, Geelong",36
2014,"Princes Highway, East Gippsland",30
2014,"Hume Freeway, Mitchell",26
2014,"High Street, Bendigo",22
2014,"Thompson Road, Geelong",21
2014,"Great Ocean Road, Colac Otway",20
2014,"South Gippsland Highway, South Gippsland",20
2014,"Bacchus Marsh Road, Geelong",19
2014,"Princes Highway, Wellington",18
2014,"Bellarine Highway, Geelong",16
2014,"Midland Highway, Shepparton",16
2014,"Sturt Street, Ballarat",16
2014,"Calder Freeway, Macedon Ranges",15
2014,"Great Ocean Road, Surf Coast",15
2014,"Great Alpine Road, Alpine",14
2015,"Princes Highway, East Gippsland",39
2015,"High Street, Bendigo",33
2015,"Princes Highway, Geelong",33
2015,"Hume Freeway, Mitchell",28
2015,"Sturt Street, Ballarat",26
2015,"Bass Highway, Bass Coast",22
2015,"Western Freeway, Moorabool",21
2015,"Calder Highway, Bendigo",19
2015,"Great Ocean Road, Colac Otway",19
2015,"Surf Coast Highway, Geelong",19
2015,"Portarlington Road, Geelong",18
2015,"Great Alpine Road, East Gippsland",17
2015,"Princes Highway, Colac Otway",17
2015,"South Gippsland Highway, South Gippsland",17
2015,"Albert Street, Ballarat",16
2016,"Princes Highway, East Gippsland",40
2016,"Princes Highway, Geelong",35
2016,"High Street, Bendigo",33
2016,"South Gippsland Highway, South Gippsland",26
2016,"Hume Freeway, Mitchell",22
2016,"Surf Coast Highway, Geelong",21
2016,"Sturt Street, Ballarat",19
2016,"Western Freeway, Moorabool",19
2016,"Bacchus Marsh Road, Geelong",18
2016,"Barwon Heads Road, Geelong",18
2016,"Calder Freeway, Macedon Ranges",18
2016,"Raglan Parade, Warrnambool",18
2016,"Shannon Avenue, Geelong",18
2016,"Bellarine Highway, Geelong",17
2016,"Great Ocean Road, Surf Coast",17
2017,"Princes Highway, Geelong",26
2017,"Great Ocean Road, Colac Otway",25
2017,"Bellarine Highway, Geelong",24
2017,"Hume Freeway, Mitchell",23
2017,"Midland Highway, Bendigo",22
2017,"Sturt Street, Ballarat",21
2017,"Hume Freeway, Strathbogie",19
2017,"Corio-Waurn Ponds Road, Geelong",18
2017,"Northern Highway, Mitchell",16
2017,"Princes Highway East, East Gippsland",16
2017,"Ryrie Street, Geelong",16
2017,"Western Freeway, Moorabool",16
2017,"Bass Highway, Bass Coast",15
2017,"Calder Highway, Bendigo",15
2017,"High Street, Bendigo",15
2018,"Princes Highway, Geelong",29
2018,"Princes Highway, East Gippsland",26
2018,"Sturt Street, Ballarat",24
2018,"Hume Freeway, Mitchell",23
2018,"Murray Valley Highway, Moira",21
2018,"Surf Coast Highway, Geelong",21
2018,"Thompson Road, Geelong",20
2018,"High Street, Bendigo",19
2018,"Northern Highway, Mitchell",19
2018,"South Gippsland Highway, South Gippsland",19
2018,"Bass Highway, Bass Coast",18
2018,"Princes Highway, Moyne",18
2018,"Western Freeway, Moorabool",18
2018,"Bellarine Highway, Geelong",17
2018,"Latrobe Terrace, Geelong",17
2019,"Bellarine Highway, Geelong",21
2019,"Thompson Road, Geelong",21
2019,"Western Freeway, Moorabool",21
2019,"Bacchus Marsh Road, Geelong",19
2019,"Hume Freeway, Mitchell",19
2019,"Bass Highway, Bass Coast",18
2019,"Princes Highway, East Gippsland",18
2019,"High Street, Bendigo",17
2019,"Murray Valley Highway, Moira",17
2019,"Princes Highway, Geelong",17
2019,"Princes Highway, Wellington",17
2019,"Great Ocean Road, Colac Otway",16
2019,"Wyndham Street, Shepparton",16
2019,"Portarlington Road, Geelong",15
2019,"Princes Highway, Moyne",15
2020,"High Street, Bendigo",15
2020,"Princes Highway, Geelong",14
2020,"Hume Freeway, Mitchell",12
2020,"Princes Highway, East Gippsland",12
2020,"South Gippsland Highway, South Gippsland",11
2020,"Barwon Heads Road, Geelong",9
2020,"Bellarine Highway, Geelong",8
2020,"Gisborne Road, Moorabool",8
2020,"Great Ocean Road, Colac Otway",8
2020,"Princes Highway, Baw Baw",8
2020,"Bass Highway, Bass Coast",7
2020,"Eleventh Street, Mildura",7
2020,"Sturt Street, Ballarat",7
2020,"Deakin Avenue, Mildura",6
2020,"Main Street, East Gippsland",6
